1.2573	83.2074	0.0838	5.5472	3.774
1.29	83.0681	0.086	5.5379	3.874
1.3242	83.0487	0.0883	5.5366	3.974
1.3587	82.9799	0.0906	5.532	4.074
1.3917	82.4875	0.0928	5.4992	4.174
1.4247	81.9781	0.095	5.4652	4.274
1.457	81.3705	0.0971	5.4247	4.374
1.4916	81.0908	0.0994	5.4061	4.474
1.5252	80.2841	0.1017	5.3523	4.574
1.5414	78.9861	0.1028	5.2657	4.626
1.5737	78.0398	0.1049	5.2027	4.726
1.6078	76.8638	0.1072	5.1243	4.826
1.6427	76.5244	0.1095	5.1016	4.926
1.6758	76.5226	0.1117	5.1015	5.026
1.708	76.256	0.1139	5.0837	5.126
1.7409	76.5068	0.1161	5.1005	5.226
1.7755	76.4117	0.1184	5.0941	5.326
1.8094	76.1335	0.1206	5.0756	5.426
1.843	75.9081	0.1229	5.0605	5.526
1.875	75.6738	0.125	5.0449	5.626
1.9073	75.4422	0.1272	5.0295	5.726
1.9416	75.0734	0.1294	5.0049	5.826
1.9627	73.7359	0.1308	4.9157	5.888
1.9911	72.4732	0.1327	4.8315	5.974
2.0237	71.975	0.1349	4.7983	6.074
2.0586	72.017	0.1372	4.8011	6.174
2.092	71.6562	0.1395	4.7771	6.274
2.1252	71.6974	0.1417	4.7798	6.374
2.1581	71.6672	0.1439	4.7778	6.474
2.1908	71.7103	0.1461	4.7807	6.574
2.2239	71.4022	0.1483	4.7601	6.674
2.2575	71.4435	0.1505	4.7629	6.774
2.2914	71.6001	0.1528	4.7733	6.874
2.3244	71.5657	0.155	4.771	6.974
2.3577	71.969	0.1572	4.7979	7.074
2.3911	72.1282	0.1594	4.8085	7.174
2.4248	71.9796	0.1617	4.7986	7.274
2.4577	71.921	0.1638	4.7947	7.374
2.4912	71.9416	0.1661	4.7961	7.474
2.5242	72.0426	0.1683	4.8028	7.574
2.5578	72.0718	0.1705	4.8048	7.674
2.5914	72.0403	0.1728	4.8027	7.774
2.6247	71.9939	0.175	4.7996	7.874
2.6581	71.8684	0.1772	4.7912	7.974
2.6917	71.8897	0.1794	4.7926	8.074
2.7256	71.9578	0.1817	4.7972	8.174
2.7583	71.8826	0.1839	4.7922	8.274
2.7906	71.8014	0.186	4.7868	8.374
2.8231	71.6126	0.1882	4.7742	8.474
2.8577	71.7278	0.1905	4.7819	8.574
2.8927	71.8268	0.1928	4.7885	8.674
2.925	72.24	0.195	4.816	8.774
2.9575	71.5695	0.1972	4.7713	8.874
2.9905	71.5084	0.1994	4.7672	8.974
3.025	71.5953	0.2017	4.773	9.074
3.0587	71.4357	0.2039	4.7624	9.174
3.0917	71.5511	0.2061	4.7701	9.274
